Year,Club,League,League Position,League Points,European Competition,European Result,European Rank
2020,Real Madrid,La Liga,1,87,Champions League,Round of 16,16.0
2021,Real Madrid,La Liga,2,84,Champions League,Semi-finals,4.0
2022,Real Madrid,La Liga,1,86,Champions League,Winner,1.0
2023,Real Madrid,La Liga,2,78,Champions League,Semi-finals,4.0
2024,Real Madrid,La Liga,1,95,Champions League,Winner,1.0
2020,AC Milan,Serie A,6,66,,,
2021,AC Milan,Serie A,2,79,Europa League,Round of 16,16.0
2022,AC Milan,Serie A,1,86,Champions League,Group Stage,32.0
2023,AC Milan,Serie A,4,70,Champions League,Semi-finals,4.0
2024,AC Milan,Serie A,2,75,Champions League,Group Stage,32.0
2020,Paris Saint-Germain,Ligue 1,1,68,Champions League,Runner-up,2.0
2021,Paris Saint-Germain,Ligue 1,2,82,Champions League,Semi-finals,4.0
2022,Paris Saint-Germain,Ligue 1,1,86,Champions League,Round of 16,16.0
2023,Paris Saint-Germain,Ligue 1,1,85,Champions League,Round of 16,16.0
2024,Paris Saint-Germain,Ligue 1,1,76,Champions League,Semi-finals,4.0
